Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FID_MARKER            -497mil         30mil       -495mil         30mil       -497mil         30mil  T          0.00 Comment        
Designator FID_MARKER            2248mil      -1830mil       2250mil      -1830mil       2248mil      -1830mil  T          0.00 Comment        
Designator FID_MARKER           -2257mil      -1830mil      -2255mil      -1830mil      -2257mil      -1830mil  T          0.00 Comment        
Designator FID_MARKER           -2257mil       1865mil      -2255mil       1865mil      -2257mil       1865mil  T          0.00 Comment        
LED2       1206Package_PCB    -688.83mil  -1662.983mil    -688.83mil  -1662.983mil   -715.196mil  -1726.637mil  T         67.50 LED_Green_1206Package
LED1       1206Package_PCB          0mil      -1800mil          0mil      -1800mil          0mil  -1868.898mil  T         90.00 LED_Green_1206Package
C4         sheityCapPackage       1403mil  -2053.787mil       1403mil      -2103mil       1403mil  -2117.764mil  T        360.00 Electrolytic Capacitor
C3         sheityCapPackage       1213mil  -2053.787mil       1213mil      -2103mil       1213mil  -2117.764mil  T        360.00 Electrolytic Capacitor
Battery    PowerPins_PCB         2080mil      -1675mil       2080mil      -1675mil       1980mil      -1675mil  T        360.00 PowerPins      
U1         44ML_N                   0mil      0.001mil          0mil          0mil   -268.644mil    -45.934mil  T         45.00 ATmega32U4-AU  
P4         MMCX2.54-V5           -285mil       1840mil       -285mil       1840mil       -285mil       1840mil  T        360.00 COAX-M         
P3         HDR1X16               1400mil        -10mil       1400mil        740mil       1400mil        740mil  T        270.00 Header 16      
P2         HDR1X15              -1400mil         40mil      -1400mil       -660mil      -1400mil       -660mil  T         90.00 Header 15      
P1         HDR2X3_CEN             715mil       1250mil        615mil       1200mil        615mil       1200mil  T        360.00 Header 3X2A    
L3         0402-A             -216.45mil   1465.982mil    -216.45mil   1465.983mil    -216.45mil   1485.667mil  T        270.00 Inductor       
L2         0402-A             -286.45mil   1510.982mil    -286.45mil   1510.983mil    -286.45mil   1530.667mil  T        270.00 Inductor       
L1         0402-A                -285mil   1615.001mil       -285mil       1615mil       -285mil   1595.316mil  T         90.00 Inductor       
C15        C1206                  670mil       -505mil        670mil       -505mil    632.417mil   -467.417mil  T        315.00 Cap Semi       
C14        C1206                  510mil       -670mil        510mil       -670mil    472.417mil   -632.417mil  T        315.00 Cap Semi       
C13        C1206              -291.98mil   1321.085mil   -291.981mil   1321.085mil    -238.83mil   1321.085mil  T        180.00 Cap Semi       
C12        C1206             -483.129mil   1321.819mil   -483.129mil   1321.819mil   -429.979mil   1321.819mil  T        180.00 Cap Semi       
C11        C1206                -1175mil       1885mil      -1175mil       1885mil   -1121.85mil       1885mil  T        180.00 Cap Semi       
C10        0402                  -285mil   1709.999mil       -285mil       1710mil       -285mil   1729.684mil  T        270.00 Cap Semi       
C9         0402               -336.45mil   1425.984mil    -336.45mil   1425.983mil    -336.45mil   1406.299mil  T         90.00 Cap Semi       
C8         0402               -286.45mil   1425.984mil    -286.45mil   1425.983mil    -286.45mil   1406.299mil  T         90.00 Cap Semi       
C7         C1206                 -500mil       -110mil       -500mil       -110mil    -446.85mil       -110mil  T        180.00 Cap Semi       
C6         C1206              -63.129mil   1406.819mil    -63.129mil   1406.819mil   -116.279mil   1406.819mil  T        360.00 Cap Semi       
C5         C1206                 -545mil       1730mil       -545mil       1730mil    -491.85mil       1730mil  T        180.00 Cap Semi       
C2         C1206                 1603mil      -2023mil       1603mil      -2023mil    1549.85mil      -2023mil  T        360.00 Cap Semi       
C1         C1206                 1603mil      -2133mil       1603mil      -2133mil    1549.85mil      -2133mil  T        360.00 Cap Semi       
R21        1206Package_PCB       -415mil       1790mil       -415mil       1790mil       -415mil   1721.102mil  T         90.00 Resistor_1206Package

